,id_text,text_name,version,l_no,text
83,Q000767,A dialogue between two unnamed scribes,,84,sux:bisaŋ[basket]N sux:ninda[bread]N sux:kurum[ration]N sux:lukur[priestess]N sux:šub[fall]V/t
84,Q000767,A dialogue between two unnamed scribes,,85,sux:geme[worker]N sux:lukur[priestess]N sux:tur[small]V/i
85,Q000767,A dialogue between two unnamed scribes,,86,sux:igi[eye]N sux:zahda[piglet]N sux:ur[roam]V/i
86,Q000767,A dialogue between two unnamed scribes,,87,sux:e[house]N sux:diŋir[deity]N sux:eš[shrine]N sux:didli[several]AJ sux:idu[doorkeeper]N sux:gudug[priest]N sux:usag[sleep]N sux:igi[face]N sux:dag[demolish]V/t sux:ennuŋ[imprisonment]N sux:ak[do]V/t
87,Q000767,A dialogue between two unnamed scribes,,88,sux:lu₂.IM[criminal]N sux:saŋ[head]N sux:kag[mouth]N sux:gu[eat]V/t
88,Q000767,A dialogue between two unnamed scribes,,89,sux:šaggal[food]N sux:kuš[devastation]N sux:kalam[land]N sux:niŋin[encircle]V/t
89,Q000767,A dialogue between two unnamed scribes,,90,sux:anaš[why?]QP sux:in[abuse]N sux:zu[know]V/t sux:dub[tremble]V/i
90,Q000767,A dialogue between two unnamed scribes,,91,sux:aga[rear]N sux:gub[stand]V/i sux:igi[eye]N sux:in[abuse]N sux:til[complete]V/i
91,Q000767,A dialogue between two unnamed scribes,,92,sux:ŋen[go]V/i sux:zal[pass]V/t sux:kiŋ[work]N sux:la[hang]V/t
92,Q000767,A dialogue between two unnamed scribes,,93,sux:ni[self]RP sux:buluŋ[grow]V/t sux:ašag[field]N sux:ŋen[go]V/i sux:aŋala[sack]N sux:šu[hand]N sux:la[hang]V/t
93,Q000767,A dialogue between two unnamed scribes,,94,sux:luhuŋa[hireling]N sux:egir[back]N sux:karkid[prostitute]N
94,Q000767,A dialogue between two unnamed scribes,,95,sux:gigur[container]N sux:u[grass]N sux:deg[collect]V/t sux:il[raise]V/t
95,Q000767,A dialogue between two unnamed scribes,,96,sux:ud[sun]N sux:buru[harvest]N sux:a[arm]N sux:šaggal[food]N sux:sa[equal]V/t
96,Q000767,A dialogue between two unnamed scribes,,97,sux:kiŋ[work]N sux:zah[disappear]V/i sux:šakanka[market]N sux:šeg[voice]N sux:dug[speak]V/t sux:gub[stand]V/i
97,Q000767,A dialogue between two unnamed scribes,,98,sux:e[house]N sux:lu[person]N sux:diŋir[deity]N sux:kašdea[banquet]N sux:du[go]V/t
98,Q000767,A dialogue between two unnamed scribes,,99,sux:egir[back]N sux:lu[person]N sux:kašdea[banquet]N sux:kur[enter]V/i
99,Q000767,A dialogue between two unnamed scribes,,100,sux:ugu[skull]N sux:imhur[foam]N sux:sag[beat]V/t
100,Q000767,A dialogue between two unnamed scribes,,101,sux:gu[neck]N sux:ki[place]N sux:ŋar[place]V/t
101,Q000767,A dialogue between two unnamed scribes,,102,sux:ni[self]RP sux:šu[hand]N sux:zu[know]V/t sux:kar[blow]V/t
102,Q000767,A dialogue between two unnamed scribes,,103,sux:niŋ[thing]N sux:gu[eat]V/t sux:šu[hand]N sux:paphala[restless]AJ sux:zig[rise]V/t
103,Q000767,A dialogue between two unnamed scribes,,104,sux:emeš[summer]N sux:inim[word]N sux:ŋissu[shade]N sux:niŋin[encircle]V/t
104,Q000767,A dialogue between two unnamed scribes,,105,sux:ud[sun]N sux:sed[cold]V/i sux:inim[word]N sux:gaba[chest]N sux:ud[sun]N sux:niŋin[encircle]V/t
